latitude, longitude, location
53.5614249,-113.5032904,"546K-1 Kingsway Garden Mall NW, Edmonton, AB T5G 3A6"
53.4471599,-113.48451,"1837 99 St NW, Edmonton, AB T6N 1K8"
53.4948711,-113.6658038,"6226 199th Street NW, Edmonton, AB T5T 2K4"
53.45425,-113.42983,"5808 23 Avenue NW, Edmonton, AB T6L 6N2"
53.51834,-113.50084,"10504 82 Avenue NW, Edmonton, AB T5P 4W1"
53.5235517,-113.6157067,"2177-8882 170 Street NW, Edmonton, AB T5T 4J2"
53.54594,-113.51367,"10387 112 Street NW, Edmonton, AB T5K 1M9"
53.53911,-113.50444,"10001 107 St NW, Edmonton, AB T5J 1J1"
53.60768,-113.41435,"14415 Miller Blvd NW, Edmonton, AB T5Y 0L4"
53.5992847,-113.4878347,"9499 137 Avenue NW, Edmonton, AB T5E 5R8"
53.54051,-113.57896,"14957 Stony Plain Rd NW, Edmonton, AB T5P 4W1"
53.54406,-113.49419,"11G-10250 101 Street NW, Edmonton, AB T5J 3P4"
53.46412,-113.49364,"3227 Calgary Trail NW, Edmonton, AB T6J 5X8"
53.4779034,-113.3691356,"3904 17 St NW, Edmonton, AB T6T 0C2"
53.42371,-113.51405,"106-961 James Mowatt Trail SW, Edmonton, AB T6W 1S4"
53.5997249,-113.4878615,"186-9450 137 Avenue NW, Edmonton, AB T5E 6C2"
53.5251499,-113.61687,"17004 90 Ave NW, Edmonton, AB T5T 1L6"
53.51833,-113.49718,"5-10370 82 Ave NW, Edmonton, AB T6E 1Z8"
53.53751,-113.50158,"101-10504 99 Ave NW, Edmonton, AB T5K 1B2"
53.543542,-113.4934577,"76-10205 101 Street NW, Edmonton, AB T5J 3P4"
