latitude, longitude, location
53.4779467,-113.3691382,"3930 17 St NW, Edmonton, AB T6T 0C2"
53.5243899,-113.66687,"814 Webber Greens Dr NW, Edmonton, AB T5T 4K5"
53.62283,-113.60591,"204-2 Hebert Rd, St. Albert, AB T8N 2E7"
53.49139,-113.44346,"5320 75 Street NW, Edmonton, AB T6E 6S4"
53.54105,-113.49277,"C13-10060 Jasper Ave NW, Edmonton, AB T5J 3R8"
53.5588399,-113.55152,"111 Ave & Groat Rd, Edmonton, AB T5M 3L7"
53.5409361,-113.6445403,"18571 Stony Plain Rd NW, Edmonton, AB T5S 2X6"
53.50502,-113.6189,"6921 172 St NW, Edmonton, AB T5T 5Y1"
53.62921,-113.54403,"12736 167 Ave NW, Edmonton, AB T6V 1J5"
53.5970345,-113.3863749,"4-13508 Victoria Trail NW, Edmonton, AB T5A 5B9"
53.5259683,-113.4431149,"9006 75 St NW, Edmonton, AB T6C 2H4"
53.2666216,-113.5700097,"1-5209 Discovery Way, Leduc, AB T9E 8N4"
53.6185143,-113.4911251,"101-15823 97 St NW, Edmonton, AB T5X 0C7"
53.42444,-113.46215,"8403 Ellerslie Rd SW, Edmonton, AB T6X 1A3"
53.55503,-113.61636,"10862 170th Street NW, Edmonton, AB T5S 2H7"
53.4989954,-113.4184349,"6112 50th Street NW, Edmonton, AB T6B 2N7"
53.54411,-113.49366,"101 St NW, Edmonton, AB T5J 3P4"
53.60073,-113.44237,"13725 66 St NW, Edmonton, AB T5C 3E1"
53.54624,-113.49037,"Edmonton, AB T5J 2G8"
53.56952,-113.60992,"11748 167 St NW, Edmonton, AB T5M 3Z2"
